start	end	text
0	30000	好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好
30000	35000	好
35000	36000	早上
36000	37000	安妮教授
37000	38000	早上
38000	40000	你忘了
40000	45000	我们有12个小时的这个gap
45000	45640	嗯
45640	58620	一老师那边美国时间现在几点
58620	60020	九点
60020	62840	我们大概11月份的时候又会调时间
62840	65080	就是我们会有13个小时的时差
65080	67080	到时候可能会上课的时候
67080	70040	可能就会我们再稍微调整
70040	71400	你们能起得来吗
71400	73800	就是九点钟或者八点半什么的
73800	75080	我可以
75080	77080	你可以哈
77080	78660	好的
78660	83280	那今天的
83280	88020	我们上两个小时最好是同学能多点来参加
88020	91620	大森老师
91620	106080	李老师等一下我在区里面喊一下同学们
106080	115900	这个不是已经进来了吗
115900	127820	我们今天会那个
127820	129420	再回忆一下
129420	130380	record一下
130380	131640	我们上一周上了什么
131640	133580	上周我们只上了一个小时
133580	139540	你们有没有练习
139540	142380	练了
142380	166380	我们平时的时候
166380	168260	我们要有shadow
168260	172060	shadow就是如果你看一个什么英文短剧啊
172060	173720	或者就是英文新闻的时候
173720	176180	你们就是虚斗就是跟着后面读
176180	178560	他读他读什么时候
178560	181260	他就是最好能可能开始跟不上
181260	182800	但是他读一句的话
182800	184200	你就是跟着来读一句
184200	185620	就是比如说他是怎么读的
185620	186540	然后我就怎么读
186540	191480	然后这样的话可能就会练得比较流利
191480	194580	还有呢就是我们学的这些单词
194580	199360	那我们比如说我们今天有一些新的单词
199360	201380	上次
202060	210880	那我们这个班
210880	219080	那我们这个班就是如果有学到一些的新的单词的话呢
219080	221740	那我们也要想一想这个单词
221740	225180	我会把它用到什么样的一个业务情景里面
225180	230340	然后如果就是我怎么把它用到我的工作环境中去
230340	232460	然后你就可以有时候可以自言自语
232460	233340	自己在那里说
233340	241300	那依老师我经常说了上句
241300	243060	忘了下去应该怎么讲了
243060	246500	你是在想用中文想
246500	247980	还是在用英文想
